RecordID,Date,City,State,Season,Temperature_C,Humidity_%,WindSpeed_kmph,Precipitation_mm,AirPressure_hPa,WeatherCondition
1,2022-02-07,Kolkata,West Bengal,Monsoon,26.4,42,12.1,2.02,1000.2,Storm
2,2022-06-28,Mumbai,Maharashtra,Monsoon,26.6,55,7.2,8.42,1016.0,Rain
3,2023-02-03,Mumbai,Maharashtra,Monsoon,25.4,76,15.1,11.2,1022.4,Rain
4,2022-03-28,Jaipur,Rajasthan,Monsoon,31.4,36,30.3,7.07,1002.3,Rain
5,2023-12-30,Mumbai,Maharashtra,Winter,20.7,92,6.9,0.34,1009.4,Rain
6,2022-02-13,Ahmedabad,Gujarat,Monsoon,30.7,80,1.2,3.91,1013.5,Haze
7,2022-03-06,Jaipur,Rajasthan,Monsoon,25.4,58,7.8,0.3,1016.7,Fog
8,2022-01-23,Lucknow,Uttar Pradesh,Monsoon,27.2,58,4.2,2.98,1013.7,Cloudy
9,2022-11-10,Delhi,Delhi,Monsoon,24.8,69,10.5,3.51,1014.6,Cloudy
10,2022-03-29,Delhi,Delhi,Winter,12.4,45,9.1,0.26,1011.6,Haze
11,2022-06-01,Kolkata,West Bengal,Autumn,31.1,38,18.9,1.45,1004.8,Fog
12,2024-02-14,Delhi,Delhi,Winter,19.0,47,1.0,2.15,1024.7,Sunny
13,2022-03-19,Bangalore,Karnataka,Autumn,24.8,42,22.8,0.45,1018.8,Cloudy
14,2023-05-24,Bangalore,Karnataka,Summer,37.4,58,24.2,1.04,1016.5,Storm
15,2022-06-02,Pune,Maharashtra,Winter,11.5,47,26.3,2.13,1004.1,Sunny
16,2022-06-02,Jaipur,Rajasthan,Monsoon,31.4,79,27.5,0.26,1020.6,Fog
17,2023-11-26,Bangalore,Karnataka,Autumn,20.6,41,26.7,1.48,1020.8,Sunny
18,2023-07-21,Ahmedabad,Gujarat,Winter,19.6,72,24.8,0.64,995.8,Rain
19,2023-11-25,Bangalore,Karnataka,Monsoon,27.8,91,24.2,23.69,1010.1,Sunny
20,2023-05-21,Lucknow,Uttar Pradesh,Autumn,31.0,48,24.4,0.07,1008.7,Fog
21,2023-12-19,Bangalore,Karnataka,Autumn,21.6,94,24.9,0.13,1010.3,Cloudy
22,2022-11-22,Chennai,Tamil Nadu,Autumn,23.4,75,8.6,1.97,1008.4,Rain
23,2022-10-31,Lucknow,Uttar Pradesh,Winter,13.3,80,20.5,3.49,1004.6,Rain
24,2022-10-30,Chennai,Tamil Nadu,Autumn,29.4,70,8.2,1.65,1006.6,Fog
25,2023-04-14,Ahmedabad,Gujarat,Monsoon,32.6,63,15.0,1.8,1006.9,Storm
26,2022-08-11,Bangalore,Karnataka,Winter,16.8,85,1.3,1.06,1007.6,Storm
27,2022-07-31,Ahmedabad,Gujarat,Monsoon,23.9,49,5.3,0.71,1012.2,Cloudy
28,2022-08-24,Bangalore,Karnataka,Summer,35.7,82,25.9,0.35,1010.5,Haze
29,2022-04-11,Pune,Maharashtra,Winter,23.6,59,26.6,1.05,1012.9,Haze
30,2023-11-19,Pune,Maharashtra,Winter,30.3,84,15.9,0.76,1007.8,Cloudy
31,2023-12-08,Lucknow,Uttar Pradesh,Summer,26.6,39,7.5,2.48,1018.7,Sunny
32,2022-05-26,Kolkata,West Bengal,Autumn,25.4,57,7.4,0.08,1009.2,Sunny
33,2022-11-23,Delhi,Delhi,Monsoon,30.4,89,32.6,3.44,1005.6,Fog
34,2022-10-03,Hyderabad,Telangana,Winter,17.2,82,25.5,0.74,1012.0,Storm
35,2022-09-28,Kolkata,West Bengal,Summer,36.1,49,19.5,2.47,1011.0,Storm
36,2023-12-26,Bangalore,Karnataka,Autumn,25.4,81,21.2,0.8,1013.0,Cloudy
37,2023-04-21,Delhi,Delhi,Summer,32.0,94,33.7,0.19,1018.1,Fog
38,2023-02-28,Delhi,Delhi,Summer,34.9,73,0.8,2.96,1006.5,Storm
39,2024-01-09,Bangalore,Karnataka,Summer,32.6,40,11.6,0.14,995.6,Storm
40,2022-02-13,Delhi,Delhi,Monsoon,22.6,67,20.4,8.44,1012.0,Storm
41,2022-03-06,Bangalore,Karnataka,Monsoon,22.3,54,10.0,2.7,1004.0,Haze
42,2024-02-21,Pune,Maharashtra,Summer,35.1,93,15.2,1.65,1009.2,Sunny
43,2023-07-20,Delhi,Delhi,Winter,21.4,80,6.4,1.55,1006.0,Rain
